section,index,id_hex,off1,off2,off3,off4,text1,text2,text3,text4
0,0,22A000A8,3724,3724,3828,3917,\x91注意，來了。,\x91注意，來了。,\x81けっこうデケエな。,cted.
0,1,098D536B,4009,4009,4170,4280,\xBD\x95か小さい……っていうか、小さすぎる。,\xBD\x95か小さい……っていうか、小さすぎる。,\xB8ェ、スゲェ数。,\x81\x8Bに、あんなのに咬まれたらタダじゃすまねぇわ。
0,2,1096622A,4408,4408,4524,4610,\x84。,\x84。,"カイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい#@－－#",\x81\x84ぐらい#@－－#
0,3,5FD7F4ED,4689,4689,4795,4856,\x83\xBD比啊#@－－#,\x83\xBD比啊#@－－#,\xBC\x8D#,"'re falling for it! Now, Maroro!"
0,4,46CCC5AC,4935,4935,5108,5245,是也。,是也。,\xB5\xB7胸膛向前踏出一步，邊扭動身體，同時喃喃自語。,"e his body
strangely."
0,5,6DE1966F,5454,5454,5648,5800,\xA5可沙波塔亞，后伊沙沙……,\xA5可沙波塔亞，后伊沙沙……,n.," he, uh... doing? That weird dance?"
0,6,E449116C,5911,5911,5976,6028,\x82、こちらでは呪法って言われてるかな。,\x82、こちらでは呪法って言われてるかな。,舞蹈？啊，那不是在跳舞，而是在施術法……啊，這一帶叫做咒法吧。,\xB3\x95……啊，這一帶叫做咒法吧。
0,7,66D49B87,6078,6078,6094,6101,"...? You mean thaumaturgy?
Oh, but it's better known as magecraft
out here, I think.","...? You mean thaumaturgy?
Oh, but it's better known as magecraft
out here, I think.","aumaturgy?
Oh, but it's better known as magecraft
out here, I think.","gy?
Oh, but it's better known as magecraft
out here, I think."
0,8,A981B067,6106,6106,6164,6204,"h, but it's better known as magecraft
out here, I think.","h, but it's better known as magecraft
out here, I think.",\x91\xAA法？,"\x81\xB3、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。"
0,9,8BBEC6F7,6232,6232,6363,6469,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。","\x8Bの。
比較的、弱くて根暗な人に向いてるかな。",\xB8\x8B，更適合弱小且陰暗的人使用。,"r. This type is
usually most potent for the weak-willed..."
0,10,96BBF64F,6580,6580,6620,6657,\x81\xA7おじゃるよ。,\x81\xA7おじゃるよ。,\xB4\xB0的心靈受到打擊了是也。,"lack! Thy words are as a blade between
Maroro's ribs savagely thrust, fair lady."
0,11,5A8AE1F3,6720,6720,6836,6924,"hrust, fair lady.","hrust, fair lady.","t WAS pretty harsh, missy.","\x81\xA3てたが、この事か。
コイツがすることだからと聞き流してた。"
0,12,4517C2E7,7017,7017,7081,7082,"\xAA回來，一開始好像有提到要讓麻呂呂做什麼，原來是這回事
嗎。因為是他的事，我沒有認真在聽。","\xAA回來，一開始好像有提到要讓麻呂呂做什麼，原來是這回事
嗎。因為是他的事，我沒有認真在聽。","來是這回事
嗎。因為是他的事，我沒有認真在聽。","\xBE\x86是這回事
嗎。因為是他的事，我沒有認真在聽。"
