section,index,id_hex,slot,ja,kr
0,0,22A000A8,text3,\x81けっこうデケエな。,
0,1,098D536B,text1,\xBD\x95か小さい……っていうか、小さすぎる。,
0,2,1096622A,text3,"カイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい#@－－#",
0,6,E449116C,text1,\x82、こちらでは呪法って言われてるかな。,
0,8,A981B067,text4,"\x81\xB3、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。",
0,9,8BBEC6F7,text1,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。",
0,10,96BBF64F,text1,\x81\xA7おじゃるよ。,
0,11,5A8AE1F3,text4,"\x81\xA3てたが、この事か。
コイツがすることだからと聞き流してた。",
0,17,FE65F9EB,text3,\x81\x9Dんなことより、呪法？,
0,18,E1F8DAFF,text1,\x82\x93なことより、呪法？,
0,19,2AA4095A,text1,\x81\xBEさかそんな魔法みたいなことが出来るはずが……,
0,20,D9AF58CE,text1,\x9Aが……,
0,21,FCFDEA47,text3,ょほぉ#@－－#んっ！！,
0,22,9467F9C5,text4,\x97ゃ、よくやった！,
0,23,B1354B4C,text4,\x80\x81後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,
0,24,4063F999,text1,\x8Cは任せたでおじゃる。もうヘトヘトでおじゃるよ……,
0,25,8B3F2A3C,text1,トでおじゃるよ……,
0,26,3A17590B,text4,\x81\xAB……魔法だと……？,
0,27,F14B8AAE,text3,\x82\x8Bぞ！　続けぇ！！,
0,28,D010C062,text3,\x97>達も行こっか。,
0,29,F54272EB,text1,\x81今はこっちに集中だ。,
0,31,729F1591,text3,\xA1、ハァ……ゼェ、そ、そうか……,
0,32,CA7834C3,text3,\x83\xA1ェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,
0,33,4B818274,text1,\x90\xABみつつ男達が応える。,
0,34,19D4006B,text1,\xAA怪我を負ったヤツもいないようだ。さすがは手練れ揃いというところか,
0,35,718BE304,text1,\x8B練れ揃いというところか,
0,36,23DE611B,text3,ったか、どこかに引っかけたのか、痛みがなかったのでクオンに手を取られるまで気付かなかった。,
0,37,3BAF6ADD,text1,\xA1く傷口に唇をあて、そこから血を吸い出し始めた。,
0,38,69FAE8C2,text1,こから血を吸い出し始めた。,
0,39,710A0FCF,text1,のイヤな予感……,
0,40,5335795F,text1,\x8Dで声を上げては駄目だよ,
