start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x34CF,13519,7,0,ん？,[],응?
0x3851,14417,13,0,ペッ……,[],퉤……
0x39F0,14832,10,0,ふふん,[],후훗.
0x3B68,15208,10,0,うん？,[],응?
0x3DD8,15832,10,0,ぐ……,[],그……
0x5197,20887,16,0,う……お？,[],으……어?
0x5518,21784,70,0,だから立てと言ってるだろうが、死にたいのか！！,[],그러니까 일어서라잖아! 죽고 싶냐!!
0x5561,21857,46,0,クソ、これじゃあ身動きがとれん,[],"젠장, 이래선 꼼짝도 못 하겠어."
0x5592,21906,67,0,アンちゃん、何を遊んでいやがる、早くしろ！！,[],"형씨, 뭐 하고 있어! 장난칠 때냐, 빨리 해!!"
0x561B,22043,46,0,……あらら、囲まれちゃったかな,[],"……어라라, 포위당했나?"
0x564C,22092,67,0,やけに落ち着いてるが、何か手立てがあるのか？,[],이상하게 침착하네. 뭔가 방법이 있어?
0x5692,22162,100,0,手立てというか、私だけ逃げるなら、どうとでもなるかなって,[],"방법이라기보다, 나만 도망치면 어떻게든 되겠다 싶어서."
0x5715,22293,40,0,うん、私だけなら,[],"응, 나만이라면."
0x5740,22336,16,0,コッチは？,[],그럼 우리 쪽은?
0x5753,22355,34,0,…………困っちゃったね,[],…………곤란하네.
0x583A,22586,52,0,でもホント、どうしたらいいかな……,[],"근데 진짜, 어떻게 해야 하지……"
0x5871,22641,28,0,…………ここまでか,[],…………여기까지인가.
0x597C,22908,19,0,何をする気だ,[],뭘 하려는 거야.
0x5992,22930,43,0,……ちょっと待ってほしいかな,[],……잠깐만 기다려 줬으면 하는데.
0x5A15,23061,118,0,いいかな？　これから突破口を作るから、合図をしたら一瞬だけ耳を塞いで目を閉じて,[],"좋아? 지금부터 돌파구를 만들 테니까, 신호를 하면 잠깐만 귀를 막고 눈을 감아."
0x5A8E,23182,61,0,そしてその後は、全力で駆け抜けぬけること,[],그리고 나면 전력으로 뚫고 달려. 
0x5ACE,23246,25,0,それはあの時の？,[],그때 그거야?
0x5B0F,23311,61,0,な、何でおじゃる？　どうするでおじゃる？,[],"뭐, 뭐란 말이옵니까? 어쩌면 좋단 말이옵니까?"
0x5B4F,23375,40,0,やるよ。三……二……一……,[],간다. 셋…… 둘…… 하나……
0x5B7A,23418,25,0,今だ、走れッ！！,[],지금! 뛰어!!
0x5C0F,23567,46,0,ああ、コイツを蹴落としたい……,[],"아아, 저놈을 걷어차고 싶다……"
0x6D20,27936,64,0,…………心配するな、その為に自分達がいる。,[],…………걱정 마. 그럴 때를 위해 우리가 있는 거야.
0x6EB4,28340,34,0,ああ、自分達を信じろ。,[],"그래, 우리를 믿어."
0x6F14,28436,16,0,ハク殿……,[],하쿠님……
0x6F46,28486,119,0,"そう……そうでおじゃるよ。
親友を信じずして何を信じるというのでおじゃる。",[],"그래…… 그래사옵니다요.
친구를 믿지 않고서 뭘 믿겠사옵니까."
0x8898,34968,91,0,ボロギギリを倒したことで、ウコンに一目置かれたハクとクオン。,[],"보로기기리를 쓰러뜨린 덕분에, 하쿠와 쿠온은 우콘에게 한눈에 인정받았다."
0x897F,35199,97,0,ウコン、マロロと共に、働き口を探すため帝都を目指すこととなった。,[],"하쿠는 우콘, 마로로와 함께 일자리를 찾기 위해 황도로 향하게 되었다."
0x8D56,36182,103,0,だがそれは、ノスリと通じモズヌの本拠を暴き出すウコンの計略であった。,[],하지만 그것은 노스리와 내통해 모즈누의 본거지를 밝혀내려는 우콘의 계책이었다.
0x8E54,36436,46,0,モズヌ討伐に向かうウコン一行。,[],모즈누 토벌로 향하는 우콘 일행.
0x9050,36944,119,0,"ウコンは仲間達を引き連れ、
討伐衆と合流するため、山道の奥へと分け入っていった。",[],"우콘은 동료들을 이끌고,
토벌대와 합류하기 위해 산길 깊은 곳으로 들어가 갔다."
0x917A,37242,40,0,半刻ほども経っただろうか。,[],반각쯤 지났으려나.
0x9327,37671,25,0,始まったか……。,[],시작됐나…….
0x9448,37960,88,0,あんなものに巻き込まれていたら、命がいくつあっても足りん。,[],"저런 일에 휘말리면, 목숨이 몇 개라도 모자라."
0x9521,38177,19,0,……ハク様。,[],……하쿠 님.
0x9537,38199,16,0,うおっ！？,[],우왓!?
0x9557,38231,37,0,い、いや……何でもない。,[],"아, 아니…… 아무것도 아니에요."
0x957F,38271,76,0,あいかわらず、この巨大い鳥には慣れないな……,[],여전히 이 커다란 새한테는 익숙해지질 않네……
0x95CE,38350,19,0,それで何か？,[],"그래서, 무슨 일인데?"
0x964B,38475,100,0,こんなこと？　ああ、ここに残ってルルティエを護ることになったことか,[],"이런 거? 아아, 여기 남아서 루루티에를 지키게 된 일 말이지."
0x96B2,38578,49,0,いや……別に気にしなくてもいいさ,[],아니…… 딱히 신경 안 써도 돼.
