section,index,id_hex,slot,ja
0,0,22A000A8,text1,\x91注意，來了。
0,0,22A000A8,text2,\x91注意，來了。
0,0,22A000A8,text3,\x81けっこうデケエな。
0,0,22A000A8,text4,cted.
0,1,098D536B,text1,\xBD\x95か小さい……っていうか、小さすぎる。
0,1,098D536B,text2,\xBD\x95か小さい……っていうか、小さすぎる。
0,1,098D536B,text3,\xB8ェ、スゲェ数。
0,1,098D536B,text4,\x81\x8Bに、あんなのに咬まれたらタダじゃすまねぇわ。
0,2,1096622A,text1,\x84。
0,2,1096622A,text2,\x84。
0,2,1096622A,text3,"カイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい#@－－#"
0,2,1096622A,text4,\x81\x84ぐらい#@－－#
0,3,5FD7F4ED,text1,\x83\xBD比啊#@－－#
0,3,5FD7F4ED,text2,\x83\xBD比啊#@－－#
0,3,5FD7F4ED,text3,\xBC\x8D#
0,3,5FD7F4ED,text4,"'re falling for it! Now, Maroro!"
0,4,46CCC5AC,text1,是也。
0,4,46CCC5AC,text2,是也。
0,4,46CCC5AC,text3,\xB5\xB7胸膛向前踏出一步，邊扭動身體，同時喃喃自語。
0,4,46CCC5AC,text4,"e his body
strangely."
0,5,6DE1966F,text1,\xA5可沙波塔亞，后伊沙沙……
0,5,6DE1966F,text2,\xA5可沙波塔亞，后伊沙沙……
0,5,6DE1966F,text3,n.
0,5,6DE1966F,text4," he, uh... doing? That weird dance?"
0,6,E449116C,text1,\x82、こちらでは呪法って言われてるかな。
0,6,E449116C,text2,\x82、こちらでは呪法って言われてるかな。
0,6,E449116C,text3,舞蹈？啊，那不是在跳舞，而是在施術法……啊，這一帶叫做咒法吧。
0,6,E449116C,text4,\xB3\x95……啊，這一帶叫做咒法吧。
0,7,66D49B87,text1,"...? You mean thaumaturgy?
Oh, but it's better known as magecraft
out here, I think."
0,7,66D49B87,text2,"...? You mean thaumaturgy?
Oh, but it's better known as magecraft
out here, I think."
0,7,66D49B87,text3,"aumaturgy?
Oh, but it's better known as magecraft
out here, I think."
0,7,66D49B87,text4,"gy?
Oh, but it's better known as magecraft
out here, I think."
0,8,A981B067,text1,"h, but it's better known as magecraft
out here, I think."
0,8,A981B067,text2,"h, but it's better known as magecraft
out here, I think."
0,8,A981B067,text3,\x91\xAA法？
0,8,A981B067,text4,"\x81\xB3、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。"
0,9,8BBEC6F7,text1,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。"
0,9,8BBEC6F7,text2,"\x8Bの。
比較的、弱くて根暗な人に向いてるかな。"
0,9,8BBEC6F7,text3,\xB8\x8B，更適合弱小且陰暗的人使用。
0,9,8BBEC6F7,text4,"r. This type is
usually most potent for the weak-willed..."
0,10,96BBF64F,text1,\x81\xA7おじゃるよ。
0,10,96BBF64F,text2,\x81\xA7おじゃるよ。
0,10,96BBF64F,text3,\xB4\xB0的心靈受到打擊了是也。
0,10,96BBF64F,text4,"lack! Thy words are as a blade between
Maroro's ribs savagely thrust, fair lady."
0,11,5A8AE1F3,text1,"hrust, fair lady."
0,11,5A8AE1F3,text2,"hrust, fair lady."
0,11,5A8AE1F3,text3,"t WAS pretty harsh, missy."
0,11,5A8AE1F3,text4,"\x81\xA3てたが、この事か。
コイツがすることだからと聞き流してた。"
0,12,4517C2E7,text1,"\xAA回來，一開始好像有提到要讓麻呂呂做什麼，原來是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,12,4517C2E7,text2,"\xAA回來，一開始好像有提到要讓麻呂呂做什麼，原來是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,12,4517C2E7,text3,"來是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,12,4517C2E7,text4,"\xBE\x86是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,13,174240F8,text1,"是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,13,174240F8,text2,"是這回事
嗎。因為是他的事，我沒有認真在聽。"
0,13,174240F8,text3,嗎。因為是他的事，我沒有認真在聽。
0,13,174240F8,text4,\x97\x8E。因為是他的事，我沒有認真在聽。
0,14,7F1DA397,text1,。因為是他的事，我沒有認真在聽。
0,14,7F1DA397,text2,。因為是他的事，我沒有認真在聽。
0,14,7F1DA397,text3,\xBA\x8B，我沒有認真在聽。
0,14,7F1DA397,text4,\x8B，我沒有認真在聽。
0,15,2D482188,text1,\xBC\x8C我沒有認真在聽。
0,15,2D482188,text2,\xBC\x8C我沒有認真在聽。
0,15,2D482188,text3," think of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention..."
0,15,2D482188,text4,"think of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention..."
0,16,35392A4E,text1,"ink of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention..."
0,16,35392A4E,text2,"ink of it, what was it that
Maroro was supposed to do, again?
I wasn't paying attention..."
0,16,35392A4E,text3, paying attention...
0,16,35392A4E,text4,paying attention...
