"row_no","rep_id_hex","group_key","over_by_bytes","span_bytes","needed_bytes","ja_preview","kr_preview"
"538","","うひ……うひひひ……","45","52","97","                     うひ……うひひひ……","                     히히…… 히히히히……"
"54","","目的はあくまで管の破壊だ。 無理に戦って、身を危険に晒す必要はないぞ！","39","104","143","目的はあくまで管の破壊だ。\n無理に戦って、身を危険に晒す必要はないぞ！","목표는 어디까지나 관을 파괴하는 거다.\n무리해서 싸우며 몸을 위험에 내놓을 필요는 없어!"
"42","","民を護る為、小生、 悪鬼羅刹となりて、阻むものを蹴散らさん。","38","89","127","民を護る為、小生、\n悪鬼羅刹となりて、阻むものを蹴散らさん。","백성을 지키기 위해, 소생,\n악귀나 나찰이 되어, 막는 자를 모조리 쓸어버리리라."
"628","","哈克大人果然很重視麻呂……！","37","43","80","哈克大人果然很重視麻呂……！","하쿠 님은 역시 마로를 소중히 여기는 거예요……!"
"103","","ムネチカ殿か。 こうして肩を並べることは滅多に無いな。 ともに戦に臨むは、楽しみでもある。","36","132","168","ムネチカ殿か。\nこうして肩を並べることは滅多に無いな。\nともに戦に臨むは、楽しみでもある。","무네치카 공이로군.\n이렇게 어깨를 나란히 할 일은 드물지.\n함께 전장에 나서는 건, 즐거운 일이기도 하다…"
"185","","ネ、ネコネさん…… すっかり囲まれてしまいましたね。","36","98","134","                     ネ、ネコネさん……\nすっかり囲まれてしまいましたね。","                     네, 네코네 씨……\n완전히 포위당해 버렸네요."
"4","","それにしても寒すぎる…… 熱燗の一本でも欲しいところだが……","34","89","123","それにしても寒すぎる……\n熱燗の一本でも欲しいところだが……","그건 그렇고 너무 춥군……\n따끈한 데운 술 한 병이라도 있으면 좋으련만……"
"55","","急ごしらえにしてはうまくいった。 でも手間の割には、大人数を運べるわけでもない…… これっきりの手品だろうな……","33","165","198","急ごしらえにしてはうまくいった。\nでも手間の割には、大人数を運べるわけでもない……\nこれっきりの手品だろうな……","급히 만든 것치곤 잘 됐어.\n하지만 수고한 만큼 많은 인원을 옮길 수 있는 것도 아니고……\n이번 한 번뿐…"
"70","","大ムカデとか、スライムとか、動く屍体とか、 今までも色んな連中を相手にしたけど……","31","122","153","大ムカデとか、スライムとか、動く屍体とか、\n今までも色んな連中を相手にしたけど……","거대 지네라든지, 슬라임이라든지, 움직이는 시체라든지,\n지금까지도 별별 놈들을 상대해 왔지만……"
"671","","我怎麼可能投降呢？","31","28","59","我怎麼可能投降呢？","내가 항복 같은 걸 할 리가 없잖아?"
