group_key,priority,group_size,jp_type,rep_offset,rep_end,ja,ja_tpl,ja_clean,locks,kr_tpl,kr_tpl_encoded,kr_detok_from_cat,kr_detok_from_cat_encoded,has_kr
マロは接近戦が苦手でおじゃる…… 注意してほしいでおじゃるよ……,70,1,normal,45749,45844,"マロは接近戦が苦手でおじゃる……
注意してほしいでおじゃるよ……","マロは接近戦が苦手でおじゃる……
注意してほしいでおじゃるよ……","マロは接近戦が苦手でおじゃる……
注意してほしいでおじゃるよ……",[],"마로는　근접전을　못하옵니다…
조심해　주셨으면　하옵니다…","維偉位　恭暁鋭逢　削圧子依愛…
河噛井　遠姿園延　圧子依愛…","마로는　근접전을　못하옵니다…
조심해　주셨으면　하옵니다…","維偉位　恭暁鋭逢　削圧子依愛…
河噛井　遠姿園延　圧子依愛…",1
見れば見るほど、おかしな生物だ…… ムカデ…？ それともサソリなのか？,70,1,normal,45988,46092,"見れば見るほど、おかしな生物だ……
ムカデ…？　それともサソリなのか？","見れば見るほど、おかしな生物だ……
ムカデ…？　それともサソリなのか？","見れば見るほど、おかしな生物だ……
ムカデ…？　それともサソリなのか？",[],"볼수록　괴상한　생물이군……
지네…?　아니면　전갈인가?","広衣祈　泣姐易　絵忌挨改……
移拐…?　違依延　鋭健迂安?","볼수록　괴상한　생물이군……
지네…?　아니면　전갈인가?","広衣祈　泣姐易　絵忌挨改……
移拐…?　違依延　鋭健迂安?",1
それにしても寒すぎる…… 熱燗の一本でも欲しいところだが……,70,1,normal,46247,46336,"それにしても寒すぎる……
熱燗の一本でも欲しいところだが……","それにしても寒すぎる……
熱燗の一本でも欲しいところだが……","それにしても寒すぎる……
熱燗の一本でも欲しいところだが……",[],"그나저나　춥군……
따끈한　술　한　병이라도　있으면……","加詠敢詠　蟻改……
胸存易　界　易　液挨悪雨　英園延……","그나저나　춥군……
따끈한　술　한　병이라도　있으면……","加詠敢詠　蟻改……
胸存易　界　易　液挨悪雨　英園延……",1
マロはハク殿ほど足が速くないでおじゃる！ 置いてかないでほしいでおじゃるよぅ～！,70,1,normal,47223,47342,"マロはハク殿ほど足が速くないでおじゃる！
置いてかないでほしいでおじゃるよぅ～！","マロはハク殿ほど足が速くないでおじゃる！
置いてかないでほしいでおじゃるよぅ～！","マロはハク殿ほど足が速くないでおじゃる！
置いてかないでほしいでおじゃるよぅ～！",[],"마로는　하쿠님만큼　빠르지　않사옵니다!
두고　가지　말아　주시옵소서요~!","維偉位　圧音攻菓四　駆押移　慣為子依愛!
箇渦　安移　訓違　遠畏子怨溢俄~!","마로는　하쿠님만큼　빠르지　않사옵니다!
두고　가지　말아　주시옵소서요~!","維偉位　圧音攻菓四　駆押移　慣為子依愛!
箇渦　安移　訓違　遠畏子怨溢俄~!",1
何故マロがこんな目にぃ…… 早く帝都に、戻りたいでおじゃるぅ……,70,1,normal,48011,48106,"何故マロがこんな目にぃ……
早く帝都に、戻りたいでおじゃるぅ……","何故マロがこんな目にぃ……
早く帝都に、戻りたいでおじゃるぅ……","何故マロがこんな目にぃ……
早く帝都に、戻りたいでおじゃるぅ……",[],"왜　마로가　이런　꼴을…
어서　황도에　돌아가고　싶사옵니다…","躰　維偉安　挨佐　掃逢…
羽溢　既雨綾　獲違安渦　検為子依愛…","왜　마로가　이런　꼴을…
어서　황도에　돌아가고　싶사옵니다…","躰　維偉安　挨佐　掃逢…
羽溢　既雨綾　獲違安渦　検為子依愛…",1
よし、一旦巻いたか……？ あとはこの先の崖まで全力で走るぞ！,70,1,normal,48265,48354,"よし、一旦巻いたか……？
あとはこの先の崖まで全力で走るぞ！","よし、一旦巻いたか……？
あとはこの先の崖まで全力で走るぞ！","よし、一旦巻いたか……？
あとはこの先の崖まで全力で走るぞ！",[],"좋아,　따돌렸나……?
이제　저　앞　절벽까지　전력질주다!","窟違,　胸獲室詠……?
挨応　敢　形　計捌垣移　鋭威記遠愛!","좋아,　따돌렸나……?
이제　저　앞　절벽까지　전력질주다!","窟違,　胸獲室詠……?
挨応　敢　形　計捌垣移　鋭威記遠愛!",1
おめェら！ あんな鳥にビビってんじゃねェ！！ さっさと終わらせちまうぜぇ！？,70,1,normal,48900,49013,"おめェら！　あんな鳥にビビってんじゃねェ！！
さっさと終わらせちまうぜぇ！？","おめェら！　あんな鳥にビビってんじゃねェ！！
さっさと終わらせちまうぜぇ！？","おめェら！　あんな鳥にビビってんじゃねェ！！
さっさと終わらせちまうぜぇ！？",[],"너희들!　저런　새　따위에　겁먹지　말라고!!
얼른　끝내　버리자고!?","稀景塊!　敢佐　帰　胸仮綾　肖傘移　訓悪渦!!
敬脚　仰笠　丸以一渦!?","너희들!　저런　새　따위에　겁먹지　말라고!!
얼른　끝내　버리자고!?","稀景塊!　敢佐　帰　胸仮綾　肖傘移　訓悪渦!!
敬脚　仰笠　丸以一渦!?",1
ココポって、ホロロン鳥よね…？ どうしてあんなに凶暴なのかな？,70,1,normal,49715,49807,"ココポって、ホロロン鳥よね…？
どうしてあんなに凶暴なのかな？","ココポって、ホロロン鳥よね…？
どうしてあんなに凶暴なのかな？","ココポって、ホロロン鳥よね…？
どうしてあんなに凶暴なのかな？",[],"코코포는　호로론새　맞지…?
어쩌다　저렇게　흉폭해진　걸까?","歌歌海位　完偉条帰　儀移…?
羽乗愛　敢紹映　伍凝井円　嫌垣?","코코포는　호로론새　맞지…?
어쩌다　저렇게　흉폭해진　걸까?","歌歌海位　完偉条帰　儀移…?
羽乗愛　敢紹映　伍凝井円　嫌垣?",1
ノスリと比べりゃ貧相な胸だが…… 俺様がじっくり、揉んでやるじゃんよ～！ ひっひっひっ……！！,70,1,normal,51486,51624,"ノスリと比べりゃ貧相な胸だが……
俺様がじっくり、揉んでやるじゃんよ～！
ひっひっひっ……！！","ノスリと比べりゃ貧相な胸だが……
俺様がじっくり、揉んでやるじゃんよ～！
ひっひっひっ……！！","ノスリと比べりゃ貧相な胸だが……
俺様がじっくり、揉んでやるじゃんよ～！
ひっひっひっ……！！",[],"노스리에　비하면　빈약한　가슴이지만……
내가　천천히　주물러　주지~!
히히히……!!","益意以綾　苑圧延　結歓易　安連挨移菓……
笠安　灰灰蓋　遠忌暗　遠移~!
蓋蓋蓋……!!","노스리에　비하면　빈약한　가슴이지만……
내가　천천히　주물러　주지~!
히히히……!!","益意以綾　苑圧延　結歓易　安連挨移菓……
笠安　灰灰蓋　遠忌暗　遠移~!
蓋蓋蓋……!!",1
山賊とばったり出くわすとか…… まったく……どうしてこうなった？,70,1,normal,51953,52048,"山賊とばったり出くわすとか……
まったく……どうしてこうなった？","山賊とばったり出くわすとか……
まったく……どうしてこうなった？","山賊とばったり出くわすとか……
まったく……どうしてこうなった？",[],"산적이랑　마주치다니……
정말……　어쩌다　이렇게　된　거지?","気印挨郷　維遠越愛依……
右訓……　羽乗愛　挨紹映　画　過移?","산적이랑　마주치다니……
정말……　어쩌다　이렇게　된　거지?","気印挨郷　維遠越愛依……
右訓……　羽乗愛　挨紹映　画　過移?",1
