group_key,priority,group_size,jp_type,rep_section,rep_index,rep_id_hex,rep_slot,ja,ja_tpl,ja_clean,locks,kr_tpl
か？,182,11,normal,0,112,2467003E,text3,\x81\xAEか？,{{L000}}{{L001}}か？,か？,"[""\\x81"", ""\\xAE""]",{{L000}}{{L001}}か？
な。,182,11,normal,9,165,D68D51B1,text3,\x81\x97な。,{{L000}}{{L001}}な。,な。,"[""\\x81"", ""\\x97""]",{{L000}}{{L001}}な。
た。,172,10,normal,12,2,9C6ACB5F,text3,\x81\xA3た。,{{L000}}{{L001}}た。,た。,"[""\\x81"", ""\\xA3""]",{{L000}}{{L001}}た。
嗎？,167,12,kanji_term,4,5,C6D08AC0,text4,\x8E\xBB嗎？,{{L000}}{{L001}}嗎？,嗎？,"[""\\x8E"", ""\\xBB""]",{{L000}}{{L001}}嗎？
ね,161,9,normal,16,92,6A048D24,text3,\x93ね,{{L000}}ね,ね,"[""\\x93""]",{{L000}}ね
ッ！！,153,8,normal,2,69,DBA6481D,text3,\xA8ッ！！,{{L000}}ッ！！,ッ！！,"[""\\xA8""]",{{L000}}ッ！！
る。,152,8,normal,3,28,E2DBD234,text3,\xB9る。,{{L000}}る。,る。,"[""\\xB9""]",{{L000}}る。
った。,143,7,normal,2,88,AB251D4B,text3,\x82った。,{{L000}}った。,った。,"[""\\x82""]",{{L000}}った。
に誰が居るんだ。 急げ、グズグズしてたら囮になった連中が喰われる羽目になる。,140,4,normal,0,185,6CACCC1A,text3,"\x96に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。","{{L000}}に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。","に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。","[""\\x96""]","{{L000}}に誰が居るんだ。
急げ、グズグズしてたら囮になった連中が喰われる羽目になる。"
だ,131,7,normal,17,303,473B5BA6,text4,\x80\x81だ,{{L000}}{{L001}}だ,だ,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}だ
い,131,6,normal,13,63,49553B93,text3,\x81\xAAい,{{L000}}{{L001}}い,い,"[""\\x81"", ""\\xAA""]",{{L000}}{{L001}}い
あの隠れ家がバレるはずはねぇってのにヨ！,130,4,normal,2,32,28ECE505,text3,　あの隠れ家がバレるはずはねぇってのにヨ！,　あの隠れ家がバレるはずはねぇってのにヨ！,　あの隠れ家がバレるはずはねぇってのにヨ！,[],　あの隠れ家がバレるはずはねぇってのにヨ！
それを良しとしなかったのは、我が甘さ故。,130,4,normal,18,80,B95B650D,text3,\x80\x82　それを良しとしなかったのは、我が甘さ故。,{{L000}}{{L001}}　それを良しとしなかったのは、我が甘さ故。,　それを良しとしなかったのは、我が甘さ故。,"[""\\x80"", ""\\x82""]",{{L000}}{{L001}}　それを良しとしなかったのは、我が甘さ故。
ハクという者に会いに来たのだが……,127,4,normal,6,16,70092719,text3,"\x80\x82
ハクという者に会いに来たのだが……","{{L000}}{{L001}}
ハクという者に会いに来たのだが……","
ハクという者に会いに来たのだが……","[""\\x80"", ""\\x82""]","{{L000}}{{L001}}
ハクという者に会いに来たのだが……"
、を使うからそれに合わせて！,124,4,normal,13,10,E3481A27,text3,　<皆:みんな>、<閃光音響弾:目くらまし>を使うからそれに合わせて！,　{{L000}}、{{L001}}を使うからそれに合わせて！,　、を使うからそれに合わせて！,"[""<皆:みんな>"", ""<閃光音響弾:目くらまし>""]",　{{L000}}、{{L001}}を使うからそれに合わせて！
が……,123,5,normal,3,141,990DBA99,text3,\x99が……,{{L000}}が……,が……,"[""\\x99""]",{{L000}}が……
るぞ！,123,5,normal,13,6,E6BDCD92,text3,\x8Cるぞ！,{{L000}}るぞ！,るぞ！,"[""\\x8C""]",{{L000}}るぞ！
ぜ。,122,5,normal,9,262,ECDE447A,text3,ぜ。,ぜ。,ぜ。,[],ぜ。
か。,122,5,normal,13,38,7A489F1A,text3,\x81\x84か。,{{L000}}{{L001}}か。,か。,"[""\\x81"", ""\\x84""]",{{L000}}{{L001}}か。
に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,120,3,normal,0,55,A5B70717,text4,\x89\x8Dに、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,{{L000}}{{L001}}に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが,"[""\\x89"", ""\\x8D""]",{{L000}}{{L001}}に、アレよりもっともっとデカイ奴に襲われたんだ。まぁ、その時は間一髪で助かったが
:みんな>が武器を構える余裕もなく、 追い回され、襲われていく。,120,3,normal,0,102,3501CE01,text4,"\x9A\x86:みんな>が武器を構える余裕もなく、
追い回され、襲われていく。","{{L000}}{{L001}}:みんな>が武器を構える余裕もなく、
追い回され、襲われていく。",":みんな>が武器を構える余裕もなく、
追い回され、襲われていく。","[""\\x9A"", ""\\x86""]","{{L000}}{{L001}}:みんな>が武器を構える余裕もなく、
追い回され、襲われていく。"
コンと分かれ、 怯えるマロロと共にボロギギリを待ち伏せする。,120,3,normal,0,156,2FF67DF6,text4,"\x82\xA6コンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。","{{L000}}{{L001}}コンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。","コンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。","[""\\x82"", ""\\xA6""]","{{L000}}{{L001}}コンと分かれ、
怯えるマロロと共にボロギギリを待ち伏せする。"
ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,120,3,normal,0,161,0D0CFB8B,text4,\x80\x81ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,{{L000}}{{L001}}ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。,"[""\\x80"", ""\\x81""]",{{L000}}{{L001}}ハクが思いついたのは、自らを囮にした捨て身の撃退作戦だった。
ことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,120,3,normal,2,26,F2FF4901,text4,\x81\xAEことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,{{L000}}{{L001}}ことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,ことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ,"[""\\x81"", ""\\xAE""]",{{L000}}{{L001}}ことを話して欲しかったでおじゃる。何だが信頼されていないみたいで悲しいでおじゃるよ
、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,120,3,normal,2,35,35E9D5BD,text4,\x81\xA6、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,{{L000}}{{L001}}、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？,"[""\\x81"", ""\\xA6""]",{{L000}}{{L001}}、ホイホイ信じちまうから……どうせあの乳が目当てだったんでしょ？
盛ってはいるが、こうでもしないとノスリは動かんだろうしな……,120,3,normal,8,19,90C242B3,text4,\x82\x92盛ってはいるが、こうでもしないとノスリは動かんだろうしな……,{{L000}}{{L001}}盛ってはいるが、こうでもしないとノスリは動かんだろうしな……,盛ってはいるが、こうでもしないとノスリは動かんだろうしな……,"[""\\x82"", ""\\x92""]",{{L000}}{{L001}}盛ってはいるが、こうでもしないとノスリは動かんだろうしな……
しろ災難なのはモズヌか……全部背負わせるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,120,3,normal,8,20,7691B9F8,text4,\x82\x80しろ災難なのはモズヌか……全部背負わせるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,{{L000}}{{L001}}しろ災難なのはモズヌか……全部背負わせるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,しろ災難なのはモズヌか……全部背負わせるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう,"[""\\x82"", ""\\x80""]",{{L000}}{{L001}}しろ災難なのはモズヌか……全部背負わせるのは気が咎めるが、身から出た錆、ということで勘弁してもらおう
、 いつまでも危ねえ橋は渡ってられねえしな。 ここらが、潮時かもしれねえじゃん。,120,3,normal,8,81,F3127789,text4,"\x81\x8C、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","{{L000}}{{L001}}、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。","[""\\x81"", ""\\x8C""]","{{L000}}{{L001}}、
いつまでも危ねえ橋は渡ってられねえしな。
ここらが、潮時かもしれねえじゃん。"
んねえが、とにかくタダじゃおかねえ！ その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。,120,3,normal,8,148,7392D4D7,text4,"\x81\x8Bんねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","{{L000}}{{L001}}んねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","んねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。","[""\\x81"", ""\\x8B""]","{{L000}}{{L001}}んねえが、とにかくタダじゃおかねえ！
その程度の人数で、俺たちを相手にするとはお笑いじゃんよ。"
相手を見下してるようなではね。 足元をわれてオシュトルに敗北するのは当然かな。,120,3,normal,17,7,976A70C1,text4,"\x80\x81相手を見下して<侮:あなど>るような<輩:やから>ではね。
足元を<掬:すく>われてオシュトルに敗北するのは当然かな。","{{L000}}{{L001}}相手を見下して{{L002}}るような{{L003}}ではね。
足元を{{L004}}われてオシュトルに敗北するのは当然かな。","相手を見下してるようなではね。
足元をわれてオシュトルに敗北するのは当然かな。","[""\\x80"", ""\\x81"", ""<侮:あなど>"", ""<輩:やから>"", ""<掬:すく>""]","{{L000}}{{L001}}相手を見下して{{L002}}るような{{L003}}ではね。
足元を{{L004}}われてオシュトルに敗北するのは当然かな。"
ら>ではね。 足元をわれてオシュトルに敗北するのは当然かな。,120,3,normal,17,9,413393DC,text4,"\x81\x8Bら>ではね。
足元を<掬:すく>われてオシュトルに敗北するのは当然かな。","{{L000}}{{L001}}ら>ではね。
足元を{{L002}}われてオシュトルに敗北するのは当然かな。","ら>ではね。
足元をわれてオシュトルに敗北するのは当然かな。","[""\\x81"", ""\\x8B"", ""<掬:すく>""]","{{L000}}{{L001}}ら>ではね。
足元を{{L002}}われてオシュトルに敗北するのは当然かな。"
