start_offset_hex,start_offset_dec,byte_budget,ref_count,ja,locks,kr
0x6F4,1780,104,1488,"どことも知れぬ雪の荒野。
そこを彷徨うは、名も記憶も失った一人の青年。",[],
0x75C,1884,161,15,"得体の知れない怪物に襲われ、あわや絶体絶命というその時、
彼を救ったのは獣の特徴を持つ少女、クオンであった。",[],
0x7FD,2045,116,1660,"保護された青年は『ハク』という名を与えられ、
クオンと共に旅をすることとなる。",[],
0x871,2161,106,19,立ち寄った山里の旅籠屋でハクを待っていたのは新たなる出会い。,[],
0x8DB,2267,173,2691,"義侠者共の頭領ウコン、大國ヤマトの貴人であるマロロ。
彼らと意気投合したハクは、ギギリと呼ばれる害蟲駆除に参加する。",[],
0x988,2440,194,1437,"ちょっと行って蟲を潰すだけの美味い儲け話に意気揚がる面々。
だが……それとは裏腹に、ハクはどこか言い知れぬ違和感を覚えていた{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]",
0xA4A,2634,65,8,"テメェ等、配置についたな？
そろそろ来るぜ。",[],
0xA8B,2699,16,1,うぃッス！,[],
0xA9B,2715,58,12,マロロ、具合の方はもう問題ねぇんだな？,[],
0xAD5,2773,131,1186,"にょほほほ、心配かけてしまったでおじゃるな。
この通り、気分爽快、完全復活でおじゃるよ。",[],
0xB58,2904,40,8,我が秘術、とくと御覧あれ。,[],
0xB80,2944,116,22,"一応、納得はしたが……
あんなのとやり合うなんて、ホントに大丈夫なんだろうな？",[],
0xBF4,3060,64,3467,ハクって、好きな食べ物が何か……覚えてる？,[],
0xC34,3124,13,4,……は？,[],
0xC41,3137,19,3,好きな食べ物,[],
0xC54,3156,34,6,いや、いきなりなんだ？,[],
0xC76,3190,70,7,帰ったら、ハクが好きなモノを食べさせて上げる。,[],
0xCBC,3260,28,3,だから、大丈夫かな,[],
0xCD8,3288,85,1012,ソレの何が大丈夫なのか判らないが……クオンなりの気遣いか,[],
0xD2D,3373,55,5,これ以上情けない所は見せられんな……,[],
0xD86,3462,19,1,…………ん？,[],
0xD99,3481,37,2,おお、けっこうデケエな。,[],
0xDBE,3518,13,1,んんん？,[],
0xDCB,3531,19,3,デカ……イ？,[],
0xDDE,3550,67,1892,いや、何か小さい……っていうか、小さすぎる。,[],
0xE21,3617,28,2,うへェ、スゲェ数。,[],
0xE3D,3645,95,19,"デケェなオイ。
確かに、あんなのに咬まれたらタダじゃすまねぇわ。",[],
0xE9C,3740,119,391,"いや、デカイって、あれがか？
自分が見たのはもっと、比べ物にならないぐらい{{LOCK_AT_DASH}}","[""{{LOCK_AT_DASH}}""]",
0xF13,3859,31,3,かかったぜ、マロロ！,[],
0xF32,3890,34,4,任されたでおじゃるよ。,[],
0xF54,3924,116,18,"マロロは胸を張って一歩前へ出ると、
体をよじりながら何やらブツブツ言い出した。",[],
0xFC8,4040,125,1054,"オンポコポコ、オンコロコロ、ポタナンパサラン、
サンミャクサンポタヤ、ホイサッサ……",[],
0x1045,4165,34,4,…………なあ、クオン。,[],
0x1067,4199,25,3,どうしたのかな？,[],
0x1080,4224,40,2,何だ、あの不気味な踊りは。,[],
0x10A8,4264,131,125,"不気味な踊り？　ああ、あれは踊りではなく術法……
あ、こちらでは呪法って言われてるかな。",[],
0x1135,4405,104,24,"印を結び、想念を力に変えるの。
比較的、弱くて根暗な人に向いてるかな。",[],
0x119D,4509,73,13,う…、マロの繊細な心はグサッときたでおじゃるよ。,[],
0x11E6,4582,61,157,ネェちゃん、何気に辛辣だな……,[],
0x1223,4643,149,30,"そう言えば、最初にマロロが何かするって言ってたが、この事か。
コイツがすることだからと聞き流してた。",[],
0x12B8,4792,43,6,いや、そんなことより、呪法？,[],
0x12E3,4835,70,435,まさかそんな魔法みたいなことが出来るはずが……,[],
0x1329,4905,34,5,にょほぉ{{LOCK_AT_DASH}}んっ！！,"[""{{LOCK_AT_DASH}}""]",
0x1355,4949,34,6,よっしゃ、よくやった！,[],
0x1377,4983,82,14,あ、後は任せたでおじゃる。もうヘトヘトでおじゃるよ……,[],
0x13C9,5065,37,5,本当に……魔法だと……？,[],
0x13EE,5102,70,422,テメェ等、残りのヤツを片付けるぞ！　続けぇ！！,[],
0x1434,5172,46,7,うぉぉぉぉぉぉぉぉぉぉぉッ！！,[],
0x1462,5218,58,13,それじゃあ、私達も行こっか。,[],
0x149C,5276,19,2,あ、ああ……,[],
0x14AF,5295,82,657,ええい、いろいろとツッコミたいが、今はこっちに集中だ。,[],
0x1501,5377,46,7,ハッ、ハァ、ハァ、ハァ{{LOCK_AT_DASH}}！,"[""{{LOCK_AT_DASH}}""]",
0x152F,5423,40,10,やるじゃねぇの、アンちゃん,[],
0x1557,5463,52,9,ハァ、ハァ……ゼェ、そ、そうか……,[],
0x158B,5515,37,6,な、何とか……なった……,[],
0x15B0,5552,91,1821,ま、ヘトヘトみてぇだし、後は俺達に任せてアンちゃんは休んでな,[],
0x160B,5643,91,18,こういったのは初めてだったんだろ？　そのくれえは多目に見るさ,[],
0x1666,5734,130,25,よォし……テメェ等、仕留めた獲物を回収するぞ！　大事な金ヅルだ、取り残すんじゃねぇぞ！,[],
0x16E8,5864,22,3,ウィ～ッス！！,[],
0x16FE,5886,70,2247,ウコンの号令に、笑い声を含みつつ男達が応える。,[],
