hangul,kanji,font0_slot_index,font0_page,font0_u0,font0_v0,font1_slot_index,font1_page,font1_u0,font1_v0,code_hex_font0,code_hex_font1
가,安,35,0,0.659502,0.373718,12,3,0.886663,0.080606,0x00E5AE89,0x00E5AE89
각,回,272,0,0.923302,0.483635,143,4,0.806058,0,0x00E59B9E,0x00E59B9E
간,衛,145,0,0.109917,0.439668,66,3,0.403029,0.483635,0x00E8A19B,0x00E8A19B
갇,伸,1424,1,0.527601,0.06595,807,8,0.161212,0.644846,0x00E4BCB8,0x00E4BCB8
갈,健,741,0,0.351734,0.725452,412,5,0.241817,0.886663,0x00E581A5,0x00E581A5
갉,信,1425,1,0.549585,0.06595,808,8,0.241817,0.644846,0x00E4BFA1,0x00E4BFA1
갊,侵,1426,1,0.571568,0.06595,809,8,0.322423,0.644846,0x00E4BEB5,0x00E4BEB5
감,汗,409,0,0.967269,0.549585,209,4,0.322423,0.483635,0x00E6B197,0x00E6B197
갑,厳,776,0,0.1319,0.747435,435,6,0.161212,0.080606,0x00E58EB3,0x00E58EB3
값,隙,727,0,0.043967,0.725452,400,5,0.241817,0.806058,0x00E99A99,0x00E99A99
갓,唇,1427,1,0.593552,0.06595,810,8,0.403029,0.644846,0x00E59487,0x00E59487
갔,舟,1237,0,0.373718,0.967269,705,7,0.644846,0.886663,0x00E8889F,0x00E8889F
강,俺,211,0,0.571568,0.461651,103,3,0.483635,0.725452,0x00E4BFBA,0x00E4BFBA
갖,戸,798,0,0.615535,0.747435,450,6,0.403029,0.161212,0x00E688B8,0x00E688B8
갗,寝,1429,1,0.637518,0.06595,811,8,0.483635,0.644846,0x00E5AF9D,0x00E5AF9D
같,堅,747,0,0.483635,0.725452,416,5,0.56424,0.886663,0x00E5A085,0x00E5A085
갚,心,1431,1,0.681485,0.06595,812,8,0.56424,0.644846,0x00E5BF83,0x00E5BF83
갛,慎,1432,1,0.703469,0.06595,813,8,0.644846,0.644846,0x00E6858E,0x00E6858E
개,苛,244,0,0.307767,0.483635,127,3,0.483635,0.886663,0x00E88B9B,0x00E88B9B
객,瞬,1277,1,0.263801,0,729,8,0.644846,0.080606,0x00E79EAC,0x00E79EAC
갠,粧,1366,1,0.241817,0.043967,773,8,0.322423,0.403029,0x00E7B2A7,0x00E7B2A7
갤,振,1433,1,0.725452,0.06595,814,8,0.725452,0.644846,0x00E68CAF,0x00E68CAF
갬,新,1434,1,0.747435,0.06595,815,8,0.806058,0.644846,0x00E696B0,0x00E696B0
갭,森,1436,1,0.791402,0.06595,816,8,0.886663,0.644846,0x00E6A3AE,0x00E6A3AE
갯,浸,1438,1,0.835369,0.06595,817,8,0,0.725452,0x00E6B5B8,0x00E6B5B8
갰,深,1439,1,0.857352,0.06595,818,8,0.080606,0.725452,0x00E6B7B1,0x00E6B7B1
갱,裁,1000,0,0.109917,0.857352,564,6,0.886663,0.886663,0x00E8A381,0x00E8A381
갸,申,1440,1,0.879336,0.06595,819,8,0.161212,0.725452,0x00E794B3,0x00E794B3
갹,真,1442,1,0.923302,0.06595,820,8,0.241817,0.725452,0x00E79C9F,0x00E79C9F
갼,神,1443,1,0.945286,0.06595,821,8,0.322423,0.725452,0x00E7A59E,0x00E7A59E
걀,臣,1446,1,0.021983,0.087934,822,8,0.403029,0.725452,0x00E887A3,0x00E887A3
걋,薪,1448,1,0.06595,0.087934,823,8,0.483635,0.725452,0x00E896AA,0x00E896AA
걍,親,1449,1,0.087934,0.087934,824,8,0.56424,0.725452,0x00E8A6AA,0x00E8A6AA
걔,身,1451,1,0.1319,0.087934,825,8,0.644846,0.725452,0x00E8BAAB,0x00E8BAAB
걘,辛,1452,1,0.153884,0.087934,826,8,0.725452,0.725452,0x00E8BE9B,0x00E8BE9B
걜,進,1453,1,0.175867,0.087934,827,8,0.806058,0.725452,0x00E980B2,0x00E980B2
거,過,254,0,0.527601,0.483635,132,3,0.886663,0.886663,0x00E9818E,0x00E9818E
걱,針,1454,1,0.197851,0.087934,828,8,0.886663,0.725452,0x00E9879D,0x00E9879D
건,虐,523,0,0.505618,0.615535,277,5,0,0,0x00E89990,0x00E89990
걷,者,1181,0,0.1319,0.945286,663,7,0.161212,0.644846,0x00E88085,0x00E88085
걸,嫌,748,0,0.505618,0.725452,417,5,0.644846,0.886663,0x00E5AB8C,0x00E5AB8C
걺,震,1455,1,0.219834,0.087934,829,8,0,0.806058,0x00E99C87,0x00E99C87
검,確,329,0,0.197851,0.527601,172,4,0.241817,0.241817,0x00E7A2BA,0x00E7A2BA
겁,肖,1368,1,0.285784,0.043967,775,8,0.483635,0.403029,0x00E88296,0x00E88296
것,機,472,0,0.373718,0.593552,248,4,0.56424,0.725452,0x00E6A99F,0x00E6A99F
겄,人,1456,1,0.241817,0.087934,830,8,0.080606,0.806058,0x00E4BABA,0x00E4BABA
겅,仁,1457,1,0.263801,0.087934,831,8,0.161212,0.806058,0x00E4BB81,0x00E4BB81
겆,刃,1458,1,0.285784,0.087934,832,8,0.241817,0.806058,0x00E58883,0x00E58883
겉,塵,1459,1,0.307767,0.087934,833,8,0.322423,0.806058,0x00E5A1B5,0x00E5A1B5
겊,尋,1461,1,0.351734,0.087934,834,8,0.403029,0.806058,0x00E5B08B,0x00E5B08B
겋,甚,1462,1,0.373718,0.087934,835,8,0.483635,0.806058,0x00E7949A,0x00E7949A
게,映,134,0,0.857352,0.417684,61,3,0,0.483635,0x00E698A0,0x00E698A0
겐,授,1217,0,0.923302,0.945286,690,7,0.403029,0.806058,0x00E68E88,0x00E68E88
겔,尽,1463,1,0.395701,0.087934,836,8,0.56424,0.806058,0x00E5B0BD,0x00E5B0BD
겜,迅,1466,1,0.461651,0.087934,837,8,0.644846,0.806058,0x00E8BF85,0x00E8BF85
겝,陣,1467,1,0.483635,0.087934,838,8,0.725452,0.806058,0x00E999A3,0x00E999A3
겟,靭,1468,1,0.505618,0.087934,839,8,0.806058,0.806058,0x00E99DAD,0x00E99DAD
겠,間,431,0,0.461651,0.571568,222,4,0.403029,0.56424,0x00E99693,0x00E99693
겡,須,1471,1,0.571568,0.087934,840,8,0.886663,0.806058,0x00E9A088,0x00E9A088
겨,及,529,0,0.637518,0.615535,283,5,0.483635,0,0x00E58F8A,0x00E58F8A
격,案,39,0,0.747435,0.373718,14,3,0.080606,0.161212,0x00E6A188,0x00E6A188
겪,十,1252,0,0.703469,0.967269,713,8,0.322423,0,0x00E58D81,0x00E58D81
견,詰,516,0,0.351734,0.615535,273,4,0.644846,0.886663,0x00E8A9B0,0x00E8A9B0
겯,図,1473,1,0.615535,0.087934,841,8,0,0.886663,0x00E59BB3,0x00E59BB3
결,魁,284,0,0.197851,0.505618,153,4,0.644846,0.080606,0x00E9AD81,0x00E9AD81
겸,酌,1193,0,0.395701,0.945286,671,7,0.806058,0.644846,0x00E9858C,0x00E9858C
겹,吹,1476,1,0.681485,0.087934,842,8,0.080606,0.886663,0x00E590B9,0x00E590B9
겻,垂,1477,1,0.703469,0.087934,843,8,0.161212,0.886663,0x00E59E82,0x00E59E82
겼,緒,1302,1,0.813385,0,738,8,0.403029,0.161212,0x00E7B792,0x00E7B792
경,壊,274,0,0.967269,0.483635,145,4,0,0.080606,0x00E5A38A,0x00E5A38A
곁,障,1384,1,0.637518,0.043967,782,8,0.080606,0.483635,0x00E99A9C,0x00E99A9C
계,稼,241,0,0.241817,0.483635,124,3,0.241817,0.886663,0x00E7A8BC,0x00E7A8BC
곈,推,1479,1,0.747435,0.087934,844,8,0.241817,0.886663,0x00E68EA8,0x00E68EA8
곌,水,1480,1,0.769419,0.087934,845,8,0.322423,0.886663,0x00E6B0B4,0x00E6B0B4
