row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
0,0032B545,44,1,願いという願いは成就せずということなし,1,No true prayer goes unanswered.,1,凡所求之願皆可成。
1,05D0C644,20,6,いっくで～,6,Here I go!,6,要上了喔！
2,07B889A5,62,3,よくぞここまで耐えきった…！,3,You've done well to make it this far...!,3,能夠堅持到現在，值得稱讚……！
3,0AA6F9E2,54,3,さぁて！決めちまうかっ！！,3,Alright! Let's get started!!,3,好了！差不多該做個了斷了吧！！
4,0D61E159,72,1,すべてを蹂躙せん,1,I'll trample over everything!,1,蹂躪一切。
5,0E5329DF,46,3,いざ！まかりとおる！,3,Watch out! Coming through!,3,那麼，我就要上了！
6,1229FFA3,7,1,これがっ！！全力の一撃っ！！！,1,Take this!! My full-power attack!!!,1,這就是我的全力一擊！！！
7,13A8D1EA,70,1,いざ出陣,1,"Now, to battle!",1,即刻出陣！
8,13BDC8A3,55,2,俺の斬撃は甘くねぇぜ…！！,2,My blade is not to be taken lightly...!,2,我的斬擊可不好受喔……！！
9,1748189E,47,2,…この一太刀、楊炎の如く…！,2,My blade moves like a mirage...!,2,……這道斬擊，宛若陽炎……！
10,175D01D7,68,1,参りますぞ！,1,Here I come!,1,要上了喔！
11,1A437190,66,1,我が一太刀、その身に刻まれよ！,1,A stroke of my sword will cut you to pieces!,1,親身體會一下我的斬擊吧！
12,1BC25FD9,25,1,うひひ！いっただきっーーーー！！,1,Hee hee hee! You're mine!!,1,嘻嘻！拿下啦——！！
13,1EA3B8E4,63,2,この一撃！最期に受け取れっ！,2,This strike will be your last!,2,這一擊！便是臨別禮物！
14,1EB6A1AD,65,1,俺様に任せるじゃんヨ！,1,Leave it to me!,1,就交給大爺我吧！
15,1F378FE4,32,1,決めるっ！！これで決着だっ！！,1,This is it!! End of the line!!,1,最後一招！！勝負已分！！
16,201F9D21,5,3,本気でいくよっ…！！,3,Now I'm getting serious...!!,3,我要認真了喔……！！
17,21D39733,1,4,……避けるなよ！！,4,"...Hey, don't run away!!",4,……可別躲開啊！！
18,24EA4D1C,11,6,…本番なのですっ！,6,This is the real deal!,6,……這次不是練習了！
19,29F43D5B,21,5,頼むから耐えてぇな？,5,"C'mon, just a little more!",5,拜託你別輕易倒下喔？
20,2B1FE686,41,4,祓い清め給え,4,"to these sinful, unclean creatures.  ",4,滌淨汙濁罪孽。
