row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
0,0032B545,44,1,이루어지지 않는 소원이란 없다,1,No true prayer goes unanswered.,1,凡所求之願皆可成。
1,05D0C644,20,6,간다아~,6,Here I go!,6,要上了喔！
2,07B889A5,62,3,여기까지 잘도 버텨냈군…!,3,You've done well to make it this far...!,3,能夠堅持到現在，值得稱讚……！
3,0AA6F9E2,54,3,"자, 이제 끝내볼까!!",3,Alright! Let's get started!!,3,好了！差不多該做個了斷了吧！！
4,0D61E159,72,1,모든 것을 짓밟아주마,1,I'll trample over everything!,1,蹂躪一切。
5,0E5329DF,46,3,자! 나아간다!,3,Watch out! Coming through!,3,那麼，我就要上了！
6,1229FFA3,7,1,이것이!! 전력의 일격이다!!!,1,Take this!! My full-power attack!!!,1,這就是我的全力一擊！！！
7,13A8D1EA,70,1,출진이다,1,"Now, to battle!",1,即刻出陣！
8,13BDC8A3,55,2,내 베기는 만만치 않다고...!!,2,My blade is not to be taken lightly...!,2,我的斬擊可不好受喔……！！
9,1748189E,47,2,"…이 한 칼, 타오르는 불꽃과 같이…!",2,My blade moves like a mirage...!,2,……這道斬擊，宛若陽炎……！
10,175D01D7,68,1,가겠습니다!,1,Here I come!,1,要上了喔！
11,1A437190,66,1,"나의 일검을, 그 몸에 새겨라!",1,A stroke of my sword will cut you to pieces!,1,親身體會一下我的斬擊吧！
12,1BC25FD9,25,1,으히히! 받아간다아――!!,1,Hee hee hee! You're mine!!,1,嘻嘻！拿下啦——！！
13,1EA3B8E4,63,2,이 일격! 마지막으로 받아라!,2,This strike will be your last!,2,這一擊！便是臨別禮物！
14,1EB6A1AD,65,1,이 몸에게 맡기라고!,1,Leave it to me!,1,就交給大爺我吧！
15,1F378FE4,32,1,끝이다!! 이걸로 결착이다!!,1,This is it!! End of the line!!,1,最後一招！！勝負已分！！
16,201F9D21,5,3,진심으로 가겠어...!!,3,Now I'm getting serious...!!,3,我要認真了喔……！！
17,21D39733,1,4,……피하지 마라!!,4,"...Hey, don't run away!!",4,……可別躲開啊！！
18,24EA4D1C,11,6,…이제부터가 진짜입니다!,6,This is the real deal!,6,……這次不是練習了！
19,29F43D5B,21,5,"부탁이니까 버텨줘, 응?",5,"C'mon, just a little more!",5,拜託你別輕易倒下喔？
20,2B1FE686,41,4,정화하여 씻어내소서,4,"to these sinful, unclean creatures.  ",4,滌淨汙濁罪孽。
21,2D01ED66,30,3,자! 처단해주마!,3,"Now, I'll make you really sorry!",3,來吧！由我來懲罰你！
