row,key_hash_hex,record_index,jaJP_flags,jaJP_text,enUS_flags,enUS_text,zhTW_flags,zhTW_text
0,0032B545,44,1,挨餌羽移移 慣位 怨活挨騎 緩愛,1,No true prayer goes unanswered.,1,凡所求之願皆可成。
1,05D0C644,20,6,衛愛違~,6,Here I go!,6,要上了喔！
2,07B889A5,62,3,各握垣移 誇雨 丸傾師改…!,3,You've done well to make it this far...!,3,能夠堅持到現在，值得稱讚……！
3,0AA6F9E2,54,3,"一, 挨応 仰笠広垣!!",3,Alright! Let's get started!!,3,好了！差不多該做個了斷了吧！！
4,0D61E159,72,1,逸管 機逢 源弱違遠維,1,I'll trample over everything!,1,蹂躪一切。
5,0E5329DF,46,3,一! 詠違衛愛!,3,Watch out! Coming through!,3,那麼，我就要上了！
6,1229FFA3,7,1,挨機挨!! 鋭威哀 泳案挨愛!!!,1,Take this!! My full-power attack!!!,1,這就是我的全力一擊！！！
7,13A8D1EA,70,1,叶円挨愛,1,"Now, to battle!",1,即刻出陣！
8,13BDC8A3,55,2,笠 休握位 菓菓越 慣愛渦...!!,2,My blade is not to be taken lightly...!,2,我的斬擊可不好受喔……！！
9,1748189E,47,2,"…挨 易 喧, 嘘遺押位 額慌汚 堅挨…!",2,My blade moves like a mirage...!,2,……這道斬擊，宛若陽炎……！
10,175D01D7,68,1,安間隠依愛!,1,Here I come!,1,要上了喔！
11,1A437190,66,1,"詠哀 泳確逢, 加 激綾 帰及悪!",1,A stroke of my sword will cut you to pieces!,1,親身體會一下我的斬擊吧！
12,1BC25FD9,25,1,園蓋蓋! 閣違衛愛違――!!,1,Hee hee hee! You're mine!!,1,嘻嘻！拿下啦——！！
13,1EA3B8E4,63,2,挨 泳案! 維移恐園偉 閣違悪!,2,This strike will be your last!,2,這一擊！便是臨別禮物！
14,1EB6A1AD,65,1,挨 激綾映 具握悪渦!,1,Leave it to me!,1,就交給大爺我吧！
15,1F378FE4,32,1,仰挨愛!! 挨嫌偉 魁豪挨愛!!,1,This is it!! End of the line!!,1,最後一招！！勝負已分！！
16,201F9D21,5,3,円噛園偉 安間羽...!!,3,Now I'm getting serious...!!,3,我要認真了喔……！！
17,21D39733,1,4,……果圧移 維悪!!,4,"...Hey, don't run away!!",4,……可別躲開啊！！
18,24EA4D1C,11,6,…挨応噂会安 円極迦依愛!,6,This is the real deal!,6,……這次不是練習了！
